Episode,TotalReward,MovingAvgReward,EpisodeLength,Loss,MeanQ,Epsilon,ExplorationRate
218,114.78999999999688,175.56950000001,2807,1.5614936351776123,11.649481773376465,0.1176729418933331,0.0
219,143.9000000000175,174.84930000000978,4106,1.5614936351776123,11.649481773376465,0.1176729418933331,0.0
220,158.80000000001013,174.66850000000977,3871,0.14053145051002502,13.350496292114258,0.11736878732228165,0.125
221,152.78000000001185,175.82590000001005,2978,0.1669103354215622,10.017169952392578,0.11626531234628373,0.0
222,135.81000000001595,175.91820000001,3290,0.4393576681613922,11.43785572052002,0.1160116208754585,0.0
223,230.60000000002083,175.65340000001012,3981,0.9522882103919983,10.292142868041992,0.11588340356787655,0.0
224,335.1900000000169,176.21120000001025,3282,0.20234990119934082,12.832515716552734,0.11549867851702222,0.25
225,290.820000000013,178.5060000000105,3679,0.1683463156223297,12.060810089111328,0.11536227399520148,0.125
226,287.87000000002723,180.2302000000105,3794,0.48087018728256226,12.360161781311035,0.11518449381382886,0.0
227,296.4800000000275,181.80750000001072,3683,0.6996486783027649,11.610721588134766,0.11498957205974358,0.125
228,278.08000000000976,184.17540000001114,5073,0.8652178049087524,11.739696502685547,0.11471216589377525,0.0
229,260.7500000000203,185.19080000001114,3551,0.22373683750629425,10.11467456817627,0.11411156626107868,0.125
230,211.8300000000213,186.84460000001144,3558,0.36588284373283386,10.365946769714355,0.11388757788629794,0.125
231,135.84000000001808,187.9878000000117,3502,0.8759777545928955,11.877060890197754,0.11380726307266602,0.125
232,118.76999999999653,187.87460000001167,3019,0.969833254814148,12.154440879821777,0.11361476360751101,0.125
233,393.94000000002364,188.3396000000118,3542,1.8780043125152588,11.033226013183594,0.11317860608113008,0.25
234,144.2399999999998,191.3714000000122,3462,0.7144327163696289,10.022699356079102,0.11305113056467014,0.125
235,187.0200000000207,191.21840000001214,4324,0.11459758877754211,13.67733097076416,0.11303704295234027,0.25
236,176.4900000000167,192.4806000000125,4292,0.1391221433877945,9.933327674865723,0.11239130185698594,0.375
237,214.0500000000259,192.6353000000124,3801,0.24312376976013184,9.352912902832031,0.11212118518406398,0.0
238,172.81000000002007,192.38120000001243,3940,0.5384413003921509,10.761707305908203,0.11186264946118485,0.125
239,316.79000000002316,192.55310000001253,4077,1.0966969728469849,12.031549453735352,0.1117295906378725,0.0
240,375.6800000000185,193.29800000001265,3858,0.4737129807472229,12.291691780090332,0.11166782161303183,0.375
241,354.01000000002705,195.90700000001289,3860,0.13431742787361145,9.935297966003418,0.11129313211286808,0.0
242,354.69000000001904,198.02990000001304,3627,0.9082334041595459,12.981180191040039,0.11128861576335305,0.5
243,330.0300000000233,200.68670000001327,3773,0.22654235363006592,13.599401473999023,0.11121076820547394,0.0
244,158.38000000000702,202.6843000000133,2773,0.4790242910385132,10.93217658996582,0.11061719400932304,0.375
245,197.4200000000172,203.53080000001347,3944,0.6343209147453308,12.929519653320312,0.11058284996812374,0.125
246,256.47000000001094,203.65920000001344,3624,0.07640140503644943,11.469476699829102,0.11048551481534329,0.0
247,107.36999999998527,204.13050000001334,3189,0.5350378155708313,11.223273277282715,0.11032486189865084,0.125
248,281.8700000000154,203.3467000000129,3444,0.13176509737968445,12.366748809814453,0.11016626375317116,0.125
249,154.9700000000129,205.02530000001312,3129,0.10280971974134445,11.800037384033203,0.10996057462618436,0.25
250,228.60000000001426,205.7512000000133,3336,0.1791287064552307,14.783485412597656,0.10988239373538897,0.125
251,336.1900000000183,206.83880000001355,3747,1.9197827577590942,14.794031143188477,0.1096503555894948,0.0
252,321.9700000000224,208.93990000001355,3374,0.21778906881809235,12.923095703125,0.10916172759818069,0.0
253,335.1900000000196,210.17890000001356,3712,0.6077436208724976,12.817182540893555,0.10912259919856644,0.125
254,296.91000000002117,210.75920000001355,3910,0.9823331236839294,13.899566650390625,0.10908000518205835,0.125
255,306.830000000022,212.23200000001364,3398,0.14921878278255463,13.025089263916016,0.10901270062691115,0.25
256,164.78000000001407,213.8604000000137,2973,0.1676059365272522,12.597259521484375,0.10884378332756488,0.0
257,250.76000000001545,213.8391000000137,2980,1.5040936470031738,14.336530685424805,0.10877191169069128,0.125
258,69.58999999999486,215.2216000000139,2637,0.2706197202205658,14.694107055664062,0.10868428233279046,0.375
259,267.98000000002276,214.3666000000137,4093,0.1532604694366455,15.077629089355469,0.10863095158097491,0.125
260,176.86000000001056,216.51180000001395,2590,0.8094581961631775,12.465822219848633,0.10818640427767266,0.0
261,312.28000000002055,216.57350000001404,2873,0.19547900557518005,15.820985794067383,0.10816710714315253,0.125
262,280.0400000000149,218.63440000001435,3137,0.7926236391067505,13.457511901855469,0.10804680214408649,0.125
263,222.16000000001443,219.01580000001428,3200,0.9762730598449707,13.952363014221191,0.10778123264518102,0.0
264,247.7000000000155,219.33510000001422,3311,0.8992830514907837,12.176555633544922,0.10760704478489251,0.0
